City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,San Cristobal,VE,7.7669,-72.225,78.98,92,75,2.71,broken clouds
181,Rabo De Peixe,PT,37.8,-25.5833,67.51,73,75,5.75,broken clouds
182,Saint George,US,37.1041,-113.5841,100.63,9,1,1.01,haze
183,College,US,64.8569,-147.8028,60.01,88,90,1.01,overcast clouds
184,Pacific Grove,US,36.6177,-121.9166,90.45,81,63,3.0,broken clouds
185,Klaksvik,FO,62.2266,-6.589,59.92,93,97,21.63,overcast clouds
186,Pauini,BR,-7.7136,-66.9764,80.1,40,7,2.15,clear sky
187,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,27,0,16.11,clear sky
188,Iqaluit,CA,63.7506,-68.5145,47.93,76,75,13.8,broken clouds
189,Iquique,CL,-20.2208,-70.1431,58.5,79,46,1.52,scattered clouds
190,Tommot,RU,58.9564,126.2925,68.16,73,30,7.49,scattered clouds
191,Barra Do Garcas,BR,-15.89,-52.2567,73.35,41,59,1.97,broken clouds
192,Sitka,US,57.0531,-135.33,59.14,89,100,4.23,overcast clouds
193,Tekeli,KZ,44.83,78.8239,60.53,39,0,8.66,clear sky
194,Thompson,CA,55.7435,-97.8558,81.45,35,78,13.51,broken clouds
195,Tigil,RU,57.8,158.6667,55.18,78,100,8.14,overcast clouds
196,Ewa Beach,US,21.3156,-158.0072,85.01,64,1,18.68,clear sky
197,Bela,IN,25.9333,81.9833,80.42,87,95,3.62,overcast clouds
198,Deputatskiy,RU,69.3,139.9,59.31,54,80,4.81,broken clouds
199,Marystown,CA,47.1666,-55.1483,62.69,94,70,9.89,broken clouds
200,Vanimo,PG,-2.6741,141.3028,82.96,70,84,5.88,broken clouds
201,Grand Gaube,MU,-20.0064,57.6608,69.39,78,45,7.0,light rain
202,Arvika,SE,59.6553,12.5852,57.9,97,92,2.44,overcast clouds
203,Longyearbyen,SJ,78.2186,15.6401,43.09,97,99,7.38,overcast clouds
204,Champerico,GT,14.3,-91.9167,83.77,71,89,4.43,overcast clouds
205,Kavieng,PG,-2.5744,150.7967,82.72,76,83,14.18,moderate rain
206,Lompoc,US,34.6391,-120.4579,82.11,67,11,5.99,few clouds
207,Urumqi,CN,43.801,87.6005,72.55,38,0,4.47,clear sky
208,Arcata,US,40.8665,-124.0828,75.13,71,25,1.99,scattered clouds
209,Goderich,CA,43.7501,-81.7165,77.04,83,3,4.43,clear sky
210,La Ronge,CA,55.1001,-105.2842,75.45,31,40,5.75,scattered clouds
