City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Dikson,RU,2021-08-02 17:17:47,73.5069,80.5464,46.47,80,100,12.03
153,Swan River,CA,2021-08-02 17:17:48,52.1058,-101.2676,90.68,20,2,1.3
154,Bani,DO,2021-08-02 17:15:49,18.2833,-70.3333,89.74,53,95,15.21
155,Vila Franca Do Campo,PT,2021-08-02 17:15:58,37.7167,-25.4333,75.61,58,0,9.13
156,Cockburn Town,TC,2021-08-02 17:17:48,21.4612,-71.1419,82.09,72,100,17.07
157,Soyo,AO,2021-08-02 17:17:48,-6.1349,12.3689,74.66,78,3,9.35
158,Olafsvik,IS,2021-08-02 17:17:49,64.8945,-23.7142,53.76,82,100,2.64
159,Provideniya,RU,2021-08-02 17:17:49,64.3833,-173.3,44.42,97,100,11.52
160,Smithers,CA,2021-08-02 17:15:11,54.7804,-127.1743,73.69,67,5,1.25
161,Semnan,IR,2021-08-02 17:17:50,35.5729,53.3971,81.77,42,23,9.24
162,Sola,VU,2021-08-02 17:17:51,-13.8833,167.55,73.76,65,97,15.01
163,Espanola,US,2021-08-02 17:17:52,35.9911,-106.0806,76.71,55,79,5.03
164,Sept-Iles,CA,2021-08-02 17:17:52,50.2001,-66.3821,66.72,59,90,12.66
165,Ust-Maya,RU,2021-08-02 17:17:53,60.4167,134.5333,62.55,59,100,7.61
166,Bambous Virieux,MU,2021-08-02 17:17:53,-20.3428,57.7575,66.22,82,20,8.05
167,Medea,DZ,2021-08-02 17:17:53,36.2642,2.7539,70.25,62,98,9.15
168,Pinawa,CA,2021-08-02 17:17:54,50.1489,-95.8811,83.61,27,1,1.83
169,Lyuban,BY,2021-08-02 17:17:54,52.7985,28.0048,60.17,85,98,13.47
170,Ilulissat,GL,2021-08-02 17:17:54,69.2167,-51.1,64.42,36,75,9.22
171,Luba,GQ,2021-08-02 17:17:55,3.4568,8.5547,78.21,84,98,6.73
172,Lerwick,GB,2021-08-02 17:15:34,60.1545,-1.1494,53.6,70,100,6.69
173,Champua,IN,2021-08-02 17:17:55,22.0833,85.6667,78.58,80,84,7.02
174,Campestre,BR,2021-08-02 17:17:55,-21.7111,-46.2464,71.94,36,8,4.56
175,Simitli,BG,2021-08-02 17:17:56,41.8833,23.1167,95.86,14,22,12.26
176,Cabedelo,BR,2021-08-02 17:15:13,-6.9811,-34.8339,79.47,75,59,18.34
177,Tuatapere,NZ,2021-08-02 17:15:34,-46.1333,167.6833,44.82,83,100,5.61
178,Klaksvik,FO,2021-08-02 17:15:57,62.2266,-6.589,50.92,83,100,11.36
179,Constitucion,CL,2021-08-02 17:17:56,-35.3333,-72.4167,61.92,52,0,12.44
180,Tura,IN,2021-08-02 17:17:57,25.5198,90.2201,74.55,98,79,4.7
181,Tacoronte,ES,2021-08-02 17:17:57,28.4769,-16.4102,72.54,75,40,15.01
182,Jacareacanga,BR,2021-08-02 17:17:57,-6.2222,-57.7528,97.11,44,0,6.91
183,Mount Gambier,AU,2021-08-02 17:17:58,-37.8333,140.7667,41.5,95,80,5.61
184,Parvatipuram,IN,2021-08-02 17:17:58,18.7833,83.4333,81.75,71,38,4.59
185,Passau,DE,2021-08-02 17:17:58,48.5712,13.449,75.02,63,23,3.44
186,Inongo,CD,2021-08-02 17:17:58,-1.95,18.2667,77.58,41,57,3.09
187,Saint Anthony,US,2021-08-02 17:15:17,45.0205,-93.218,82.92,41,1,3.0
188,Harer,ET,2021-08-02 17:17:59,9.3094,42.1258,61.47,74,65,7.2
189,Bilma,NE,2021-08-02 17:17:21,18.6853,12.9164,106.21,9,2,7.72
190,Richards Bay,ZA,2021-08-02 17:15:36,-28.783,32.0377,62.83,87,3,5.95
191,Nha Trang,VN,2021-08-02 17:17:59,12.25,109.1833,86.0,69,100,6.02
192,Bam,IR,2021-08-02 17:18:00,29.106,58.357,92.01,10,31,10.09
193,Pelym,RU,2021-08-02 17:18:00,61.0108,61.9978,64.02,67,99,4.79
194,Chokurdakh,RU,2021-08-02 17:18:00,70.6333,147.9167,35.22,81,10,7.67
195,Nizhniy Kuranakh,RU,2021-08-02 17:18:01,58.8353,125.4869,53.35,91,31,3.22
196,Yar-Sale,RU,2021-08-02 17:18:01,66.8333,70.8333,55.6,89,99,7.49
197,Saint-Francois,FR,2021-08-02 17:16:22,46.4154,3.9054,73.18,46,0,6.91
198,Victoria,HK,2021-08-02 17:17:45,22.2855,114.1577,86.38,85,100,4.0
199,Comodoro Rivadavia,AR,2021-08-02 17:15:01,-45.8667,-67.5,64.26,39,0,18.41
200,Yulara,AU,2021-08-02 17:18:02,-25.2406,130.9889,39.04,52,0,5.75
